uuid,downstream,lon1,lat1,lon2,lat2
urn:uuid:06f416d6-8c02-4919-ba8c-b071323e7648,urn:uuid:99250b13-0359-4840-a8e3-f257e4499594,92.165000,35.213333,92.132500,35.190833
urn:uuid:9a5a23dd-44fe-4a5f-bbba-f5b372f1c140,urn:uuid:2fda59a0-2f38-4c45-baf8-2e7af24711ba,107.045000,27.193333,106.998333,27.170833
urn:uuid:69aafb4e-73be-4f68-966c-bc9318f976ae,urn:uuid:a47c5696-02e0-4dc3-a894-1343eddfdf9e,106.840000,30.585000,106.820833,30.629167
urn:uuid:e5354ca2-a55a-4f37-bf58-75e0b3a41226,urn:uuid:996712ac-5139-47c6-8323-d60de34528c1,107.817500,31.120833,107.804167,31.114167
urn:uuid:3da7c27f-d9a7-47df-9988-9b1558040ecc,urn:uuid:bc9f976c-d1b8-42fb-acd7-725cb5b3eb29,106.954167,29.746667,106.937500,29.760833
urn:uuid:3acc97ad-17de-4b73-a793-68092f4e077b,urn:uuid:90dbc581-bb54-48a2-a51d-3a8a095ffdee,113.065833,30.401667,112.910833,30.510000
urn:uuid:6188cc85-ef7b-49fc-9282-6f9f4acdbddb,urn:uuid:7a46f81f-94c6-4a36-9be7-42d6adf9355f,107.847500,32.709167,107.912500,32.755000
urn:uuid:0ce8f190-beb3-4a40-9f7f-4bff423f2127,urn:uuid:ba6253c6-17ce-4b2f-9a1a-6d742abc62de,119.252500,30.755833,119.299167,30.730000
urn:uuid:d489a84c-4f13-4d4c-83b1-5713660db254,urn:uuid:a105bd08-948d-4075-a2d0-3e7aa029fba4,120.035833,32.889167,120.162500,32.877500
urn:uuid:8cbe0dfc-fa2c-4bbc-b1dc-88a1768388bd,urn:uuid:932f6343-af59-41c1-bb89-026aa249ea6f,111.314167,28.611667,111.285000,28.597500
urn:uuid:cb6a8901-b641-4d84-958c-2a03103b1c44,urn:uuid:3c6294df-8387-4cb3-844a-44bf9f49f309,92.445833,33.812500,92.434167,33.772500
urn:uuid:844b7e23-6a29-448d-a730-78f3b56c2366,urn:uuid:bdd99134-2bb8-454b-8574-104f988cf089,97.940833,31.829167,97.860000,31.803333
urn:uuid:976645a9-0039-4f7b-a0f4-f3ddeaef4794,urn:uuid:75dd3782-dd10-4b65-92a4-d809c3931890,105.205833,31.284167,105.165833,31.345833
urn:uuid:856b34a7-3e5f-4502-af5a-0e9574b03b98,urn:uuid:0eef583c-4714-4be7-982b-24505a996867,112.634167,32.488333,112.665000,32.426667
urn:uuid:375b9dd7-c2ba-45d9-84fc-beb1d84d3ec4,urn:uuid:229ea3a0-c04f-469c-9cb3-88f5a961b9fd,114.767500,33.287500,114.725833,33.343333
urn:uuid:3ef22f46-ecc4-4c86-8db1-967a885da339,urn:uuid:02ce05ca-570d-45d5-92c4-2dc1efe3dd5f,108.388333,30.815000,108.375000,30.822500
urn:uuid:1067cc04-89bd-4f87-8b10-d107156a3157,urn:uuid:5e20ef19-08da-4b92-ae46-f8400e0855b7,109.614167,30.212500,109.519167,30.183333
urn:uuid:1623fb39-2542-408a-b47d-0d60e0688dc3,urn:uuid:484946ec-3eae-46c9-9ea5-918d7de9dedf,98.164167,31.864167,98.155833,31.855000
urn:uuid:944c08e8-4394-4132-acbb-211f1db556c1,urn:uuid:0f9033e8-c528-4f67-bbe9-35e38c973ff3,100.729167,26.001667,100.711667,26.010000
urn:uuid:f281ea2b-2feb-4beb-b033-37aa04368831,urn:uuid:8c81f6ba-4265-44a4-b677-3defc710b15a,92.156667,35.222500,92.203333,35.300833
